medicine_id,medicine_name,category,price,stock_quantity,expiry_date,batch_number,manufacturer,storage_condition
MED-1001,Dolopril,Cardiology,61.96,214,13-09-2026,BN-23547,"Mann, Matthews and Kemp Pharma",Cool/Dry
MED-1002,Cetitin,Analgesic,134.25,85,03-01-2029,BN-56885,White-Beard Pharma,Refrigerated
MED-1003,Ibumab,Antiviral,20.83,401,02-11-2028,BN-99579,Mitchell Group Pharma,Cool/Dry
MED-1004,Liponol,Analgesic,149.96,194,06-10-2026,BN-99322,"Harper, Rogers and Mcdonald Pharma",Room Temp
MED-1005,Ibudex,Antiviral,78.06,208,17-05-2028,BN-28649,Wilson-Shaw Pharma,Room Temp
MED-1006,Zyrzole,Dermatology,105.83,269,09-12-2028,BN-72095,Anderson Ltd Pharma,Refrigerated
MED-1007,Dolomab,Cardiology,28.93,146,11-04-2027,BN-23008,Parsons Group Pharma,Room Temp
MED-1008,Dolozole,Antibiotic,106.05,363,22-05-2027,BN-61106,"Warner, Melton and Weber Pharma",Cool/Dry
MED-1009,Pandex,Antiviral,21.45,156,17-12-2028,BN-74545,Perez-Mitchell Pharma,Cool/Dry
MED-1010,Glycomab,Dermatology,59.67,336,04-03-2027,BN-66030,"Cox, Stewart and Moore Pharma",Room Temp
MED-1011,Zyrpril,Analgesic,51.68,373,18-02-2027,BN-23943,Brown-Park Pharma,Room Temp
MED-1012,Glycotin,Antibiotic,11.92,454,10-08-2028,BN-37335,"Gallagher, Brooks and Clark Pharma",Refrigerated
MED-1013,Metmab,Antibiotic,30.22,425,23-10-2027,BN-62433,Morales and Sons Pharma,Room Temp
MED-1014,Ibutin,Antibiotic,86.21,420,16-08-2027,BN-48355,"Ramirez, Barajas and Walker Pharma",Room Temp
MED-1015,Althopril,Cardiology,63.37,6,01-01-2026,BN-76804,Serrano-Davis Pharma,Cool/Dry
MED-1016,Panline,Cardiology,70.75,130,11-05-2028,BN-83765,Calderon-Harvey Pharma,Cool/Dry
MED-1017,Zyrfen,Analgesic,97.02,309,26-10-2027,BN-50556,Ballard Inc Pharma,Cool/Dry
MED-1018,Cetidex,Cardiology,84.15,256,15-11-2028,BN-95917,"Rodriguez, Liu and Johnson Pharma",Room Temp
MED-1019,Althodex,Cardiology,130.25,421,13-11-2026,BN-47022,Morris-Ramsey Pharma,Room Temp
MED-1020,Lipopril,Antibiotic,109.45,6,30-04-2027,BN-59786,Murphy-Fitzgerald Pharma,Cool/Dry
MED-1021,Panzole,Dermatology,85.64,301,01-01-2027,BN-56205,Houston LLC Pharma,Room Temp
MED-1022,Dolozole,Analgesic,39.62,374,17-04-2028,BN-63236,Stephens-Johnson Pharma,Room Temp
MED-1023,Lipomab,Cardiology,38.78,443,05-11-2026,BN-99091,Williams-Martin Pharma,Cool/Dry
MED-1024,Lipoline,Cardiology,95.08,254,19-10-2028,BN-72122,"Chavez, Patterson and Ward Pharma",Cool/Dry
MED-1025,Cetifen,Antibiotic,71.97,442,19-09-2028,BN-34237,"Williams, Turner and Bowen Pharma",Cool/Dry
MED-1026,Ibuvin,Cardiology,124.78,393,22-11-2028,BN-92822,Jacobson Ltd Pharma,Cool/Dry
MED-1027,Cetitin,Cardiology,64.96,495,22-01-2027,BN-49916,"West, Jackson and Tucker Pharma",Cool/Dry
MED-1028,Liponol,Analgesic,112.68,252,23-02-2029,BN-35296,"Robertson, Smith and Williams Pharma",Refrigerated
MED-1029,Exertin,Analgesic,57.56,390,20-09-2028,BN-42483,Anderson-Kelly Pharma,Room Temp
MED-1030,Zyrpril,Dermatology,59.67,17,18-09-2027,BN-72457,"Williams, Daniel and Warner Pharma",Cool/Dry
MED-1031,Cetiline,Dermatology,88.59,55,17-09-2026,BN-61596,"Potts, Freeman and Tapia Pharma",Room Temp
MED-1032,Ibufen,Antibiotic,89.19,464,10-04-2028,BN-34310,Donaldson-Manning Pharma,Refrigerated
MED-1033,Althopril,Analgesic,112.39,46,17-03-2028,BN-82208,Leach-Hunter Pharma,Refrigerated
MED-1034,Althozole,Cardiology,101.72,298,04-03-2027,BN-48676,Mcdaniel and Sons Pharma,Room Temp
MED-1035,Exerfen,Antibiotic,120.16,127,20-09-2026,BN-12785,Beck-Clark Pharma,Cool/Dry
MED-1036,Cetipril,Dermatology,142.06,439,06-10-2027,BN-99135,"Moreno, Cabrera and Hunt Pharma",Room Temp
MED-1037,Glycodex,Analgesic,35.16,164,30-04-2027,BN-98935,Woods-Tran Pharma,Room Temp
MED-1038,Panpril,Analgesic,129.68,379,21-10-2028,BN-70255,"Shepherd, Quinn and Cole Pharma",Room Temp
MED-1039,Metzole,Antibiotic,142.36,207,27-08-2027,BN-99861,Long Inc Pharma,Cool/Dry
MED-1040,Mettin,Dermatology,114.71,376,16-06-2027,BN-62575,Smith LLC Pharma,Room Temp
MED-1041,Ibufen,Antibiotic,79.42,200,31-05-2027,BN-77896,Jones-Welch Pharma,Cool/Dry
MED-1042,Metline,Antiviral,69.55,89,01-09-2027,BN-41602,Anthony-Elliott Pharma,Refrigerated
MED-1043,Althopril,Cardiology,145.65,329,30-11-2026,BN-70863,"Maldonado, Taylor and Brown Pharma",Cool/Dry
MED-1044,Panzole,Analgesic,98.42,11,08-01-2027,BN-97763,Lopez-Oconnor Pharma,Refrigerated
MED-1045,Althodex,Cardiology,81.19,64,18-09-2028,BN-73139,Shah-Walker Pharma,Refrigerated
MED-1046,Exermab,Analgesic,36.69,171,12-03-2028,BN-91802,Hoover Ltd Pharma,Refrigerated
MED-1047,Panmab,Dermatology,45.62,134,19-01-2029,BN-67257,Gonzalez-Little Pharma,Refrigerated
MED-1048,Dolovin,Analgesic,33.67,444,23-03-2028,BN-84121,Villegas-Walsh Pharma,Room Temp
MED-1049,Pandex,Cardiology,52.44,372,21-12-2028,BN-65628,"Reyes, Cook and Holmes Pharma",Cool/Dry
MED-1050,Panzole,Antiviral,80.4,163,06-07-2028,BN-96894,"Jefferson, Johnson and Love Pharma",Room Temp
MED-1051,Glycofen,Cardiology,100.21,212,04-02-2027,BN-65358,Hawkins-Jackson Pharma,Refrigerated
MED-1052,Exervin,Cardiology,52.72,337,02-01-2029,BN-99890,"Snyder, Moore and Jones Pharma",Cool/Dry
MED-1053,Pantin,Analgesic,146.8,323,30-12-2028,BN-86281,White-Trujillo Pharma,Refrigerated
MED-1054,Althozen,Antibiotic,102.21,24,29-07-2028,BN-24457,Owens-Johnson Pharma,Cool/Dry
MED-1055,Exertin,Analgesic,64.84,34,30-05-2028,BN-46279,Porter-Ellis Pharma,Refrigerated
MED-1056,Dolomab,Antibiotic,147.58,477,06-03-2028,BN-37886,Daniels-Peterson Pharma,Refrigerated
MED-1057,Liponol,Antiviral,39.52,339,31-12-2028,BN-95182,Cameron Ltd Pharma,Cool/Dry
